long,lat,n_cruce,id_codigo,fecha_inau,anio_inau,dom_orig,dom_norma,origen,observ,nro_nva,instala,horario,fecha_fina,id_usig,objeto,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.456208399084396,-34.6855803010267,9945.0,B-CR-09945,,,Pista  y  Aprendizaje,,Coordenada,Pista - Aprendizaje,4.0,TITILANTE NOCTURNO,Todos los días de 17:30 a 08:00hs.,,128,CRUCE SEMAFORIZADO,,,Villa Riachuelo,Comuna 8,,
-58.432202599313,-34.650409433922704,9656.0,B-CR-09656,02-feb,2018.0,Av. Perito Moreno 1755,"MORENO, PERITO AV. 1755",Domicilio,Av. Perito Moreno 1755,3.0,TITILANTE NOCTURNO,Todos los días de 19:00 a 07:00hs.,,129,CRUCE SEMAFORIZADO,"MORENO, PERITO AV.",1755,Flores,Comuna 7,1437,C1437BSE
-58.3669021095006,-34.6215825863593,2266.0,B-CR-02266,,,Av. San Juan - Azopardo,,Domicilio,Av. San Juan - Azopardo,0.0,TITILANTE CON DEMANDA,Titilante 24hs.,,130,CRUCE SEMAFORIZADO,,,San Telmo,Comuna 1,,
-58.3694591984825,-34.609971201044104,1016.0,B-CR-01016,,,Paseo Colón Av. y Alsina Adolfo,,Coordenada,,4.0,,,,131,CRUCE SEMAFORIZADO,PASEO COLON AV.,,Monserrat,Comuna 1,,
-58.369560598404895,-34.6111718005296,1017.0,B-CR-01017,,,Paseo Colón Av. y Moreno,,Coordenada,,4.0,,,,132,CRUCE SEMAFORIZADO,PASEO COLON AV.,,Monserrat,Comuna 1,,
-58.3695340986998,-34.6122922009693,1018.0,B-CR-01018,,,Paseo Colón Av. y Belgrano Av.,,Coordenada,,4.0,,,,133,CRUCE SEMAFORIZADO,PASEO COLON AV.,,Monserrat,Comuna 1,,
-58.369492699167296,-34.6135782006777,1019.0,B-CR-01019,,,Paseo Colón Av. y Venezuela,,Coordenada,,4.0,,,,134,CRUCE SEMAFORIZADO,PASEO COLON AV.,,Monserrat,Comuna 1,,
-58.367959998405894,-34.6121901004182,1020.0,B-CR-01020,,,Belgrano Av. y Azopardo,,Coordenada,,4.0,,,,135,CRUCE SEMAFORIZADO,BELGRANO AV.,,Monserrat,Comuna 1,,
-58.3705617989361,-34.6123686005972,1021.0,B-CR-01021,,,Belgrano Av. y Balcarce,,Coordenada,,4.0,,,,136,CRUCE SEMAFORIZADO,BELGRANO AV.,,Monserrat,Comuna 1,,
-58.3672459985431,-34.611001100479605,1032.0,B-CR-01032,,,Huergo Ing. Av. y Moreno,,Coordenada,,4.0,,,,137,CRUCE SEMAFORIZADO,"HUERGO, ING. AV.",,Puerto Madero,Comuna 1,,
-58.3982786993262,-34.5865274006974,1101.0,B-CR-01101,,,Las Heras Av. y Laprida,,Coordenada,,4.0,,,,138,CRUCE SEMAFORIZADO,LAS HERAS GENERAL AV.,,Recoleta,Comuna 2,,
-58.39354179864839,-34.585619700962894,1102.0,B-CR-01102,,,Pueyrredón Av. y Azcuénaga,,Coordenada,,4.0,,,,139,CRUCE SEMAFORIZADO,PUEYRREDON AV.,,Recoleta,Comuna 2,,
-58.394973998797596,-34.5863476005452,1103.0,B-CR-01103,,,Pueyrredón Av. y Guido,,Coordenada,,4.0,,,,140,CRUCE SEMAFORIZADO,PUEYRREDON AV.,,Recoleta,Comuna 2,,
-58.396194399428396,-34.5869566008705,1104.0,B-CR-01104,,,Pueyrredón Av. y Vicente López,,Coordenada,,4.0,,,,141,CRUCE SEMAFORIZADO,PUEYRREDON AV.,,Recoleta,Comuna 2,,
-58.3972411992469,-34.587450800641896,1105.0,B-CR-01105,,,Pueyrredón Av. y Las Heras Av.,,Coordenada,,4.0,,,,142,CRUCE SEMAFORIZADO,PUEYRREDON AV.,,Recoleta,Comuna 2,,
-58.398769899465705,-34.588382500395106,1106.0,B-CR-01106,,,Pueyrredón Av. y Pacheco de Melo,,Coordenada,,4.0,,,,143,CRUCE SEMAFORIZADO,PUEYRREDON AV.,,Recoleta,Comuna 2,,
-58.39983179866421,-34.5891341004327,1107.0,B-CR-01107,,,Pueyrredón Av. y Peña,,Coordenada,,4.0,,,,144,CRUCE SEMAFORIZADO,PUEYRREDON AV.,,Recoleta,Comuna 2,,
-58.4003696992107,-34.5901801004765,1108.0,B-CR-01108,,,Pueyrredón Av. y French,,Coordenada,,4.0,,,,145,CRUCE SEMAFORIZADO,PUEYRREDON AV.,,Recoleta,Comuna 2,,
