Id_Hecho,Sexo,Edad
LC-2019-0029566,MASCULINO,32
LC-2019-0030128,FEMENINO,22
LC-2019-0030272,FEMENINO,57
LC-2019-0030352,MASCULINO,50
LC-2019-0030566,MASCULINO,63
LC-2019-0030658,FEMENINO,33
LC-2019-0030786,FEMENINO,29
LC-2019-0030792,MASCULINO,27
LC-2019-0028731,FEMENINO,32
LC-2019-0035369,MASCULINO,40
LC-2019-0031071,MASCULINO,41
LC-2019-0031424,MASCULINO,26
LC-2019-0031634,MASCULINO,39
LC-2019-0032487,FEMENINO,40
LC-2019-0032487,FEMENINO,40
LC-2019-0032605,MASCULINO,42
LC-2019-0032607,MASCULINO,51
LC-2019-0032657,MASCULINO,27
LC-2019-0032657,MASCULINO,27
LC-2019-0032834,MASCULINO,34
LC-2019-0032903,MASCULINO,26
LC-2019-0033174,MASCULINO,23
LC-2019-0033180,FEMENINO,23
LC-2019-0033263,MASCULINO,34
LC-2019-0033333,MASCULINO,35
LC-2019-0033412,FEMENINO,66
LC-2019-0033440,FEMENINO,6
LC-2019-0033459,MASCULINO,45
LC-2019-0033489,MASCULINO,22
LC-2019-0033593,MASCULINO,24
LC-2019-0037717,FEMENINO,29
LC-2019-0033845,MASCULINO,28
LC-2019-0034601,MASCULINO,66
LC-2019-0034601,MASCULINO,66
LC-2019-0034710,FEMENINO,29
LC-2019-0034889,MASCULINO,80
LC-2019-0034915,MASCULINO,33
LC-2019-0034987,MASCULINO,48
LC-2019-0035011,FEMENINO,24
LC-2019-0035269,FEMENINO,43
LC-2019-0035598,MASCULINO,23
LC-2019-0035702,MASCULINO,45
LC-2019-0035843,FEMENINO,43
LC-2019-0035861,MASCULINO,28
LC-2019-0035884,FEMENINO,65
LC-2019-0035947,MASCULINO,39
LC-2019-0036035,FEMENINO,27
LC-2019-0036051,FEMENINO,31
LC-2019-0036157,MASCULINO,32
LC-2019-0036172,FEMENINO,23
LC-2019-0045960,FEMENINO,66
LC-2019-0033624,MASCULINO,26
LC-2019-0036239,MASCULINO,27
LC-2019-0036324,MASCULINO,21
LC-2019-0036508,MASCULINO,32
LC-2019-0036762,FEMENINO,25
LC-2019-0037490,MASCULINO,41
LC-2019-0037547,FEMENINO,41
LC-2019-0037563,FEMENINO,71
LC-2019-0037776,MASCULINO,31
LC-2019-0037791,FEMENINO,67
LC-2019-0037893,FEMENINO,24
LC-2019-0037893,FEMENINO,24
LC-2019-0037893,FEMENINO,1
LC-2019-0037898,MASCULINO,52
LC-2019-0037956,MASCULINO,37
LC-2019-0037956,MASCULINO,37
LC-2019-0037998,MASCULINO,24
LC-2019-0038545,MASCULINO,33
LC-2019-0038664,MASCULINO,70
LC-2019-0038880,FEMENINO,38
LC-2019-0038880,MASCULINO,38
LC-2019-0039169,FEMENINO,36
LC-2019-0039296,MASCULINO,42
LC-2019-0039419,MASCULINO,33
LC-2019-0040436,MASCULINO,44
LC-2019-0054502,MASCULINO,38
LC-2019-0081956,MASCULINO,39
LC-2019-0039446,FEMENINO,17
LC-2019-0039502,MASCULINO,23
LC-2019-0039502,MASCULINO,23
LC-2019-0039502,MASCULINO,27
LC-2019-0039583,MASCULINO,79
LC-2019-0039611,MASCULINO,27
LC-2019-0039636,MASCULINO,20
LC-2019-0039636,MASCULINO,20
LC-2019-0039736,FEMENINO,27
LC-2019-0039781,MASCULINO,85
LC-2019-0040002,MASCULINO,37
LC-2019-0040015,MASCULINO,52
LC-2019-0040126,FEMENINO,49
LC-2019-0040126,MASCULINO,49
LC-2019-0040179,MASCULINO,61
LC-2019-0040179,FEMENINO,61
LC-2019-0028782,FEMENINO,6
LC-2019-0040616,FEMENINO,37
LC-2019-0041689,MASCULINO,26
LC-2019-0042297,FEMENINO,64
LC-2019-0044720,FEMENINO,19
LC-2019-0044799,MASCULINO,48
LC-2019-0073192,FEMENINO,71
LC-2019-0039585,MASCULINO,37
LC-2019-0040743,FEMENINO,29
LC-2019-0040917,FEMENINO,47
LC-2019-0040935,MASCULINO,18
LC-2019-0040980,MASCULINO,24
LC-2019-0041141,MASCULINO,60
LC-2019-0041311,MASCULINO,45
LC-2019-0041551,MASCULINO,41
LC-2019-0041551,MASCULINO,41
LC-2019-0041573,FEMENINO,23
LC-2019-0041573,MASCULINO,23
LC-2019-0041691,MASCULINO,19
LC-2019-0041708,FEMENINO,32
LC-2019-0041708,MASCULINO,32
LC-2019-0041708,FEMENINO,57
LC-2019-0041867,MASCULINO,57
LC-2019-0042071,FEMENINO,57
LC-2019-0042330,MASCULINO,60
LC-2019-0042727,MASCULINO,31
LC-2019-0042790,FEMENINO,77
LC-2019-0042849,MASCULINO,43
LC-2019-0043166,MASCULINO,47
LC-2019-0043366,MASCULINO,37
LC-2019-0043556,MASCULINO,90
LC-2019-0043780,MASCULINO,38
LC-2019-0043843,MASCULINO,30
LC-2019-0044108,MASCULINO,56
LC-2019-0044259,FEMENINO,61
LC-2019-0044259,MASCULINO,61
LC-2019-0086279,MASCULINO,20
LC-2019-0044828,MASCULINO,33
LC-2019-0049022,FEMENINO,48
LC-2019-0045068,MASCULINO,24
LC-2019-0045084,MASCULINO,35
LC-2019-0045246,MASCULINO,30
LC-2019-0045335,MASCULINO,30
LC-2019-0045807,FEMENINO,60
LC-2019-0045822,FEMENINO,51
LC-2019-0045905,MASCULINO,28
LC-2019-0046032,MASCULINO,32
LC-2019-0248177,FEMENINO,44
LC-2019-0047039,FEMENINO,50
LC-2019-0047039,FEMENINO,50
LC-2019-0047141,MASCULINO,24
LC-2019-0047216,MASCULINO,21
LC-2019-0047273,MASCULINO,31
LC-2019-0047289,MASCULINO,59
LC-2019-0047388,FEMENINO,37
LC-2019-0047388,FEMENINO,37
LC-2019-0047428,MASCULINO,28
LC-2019-0049471,MASCULINO,23
LC-2019-0055233,MASCULINO,56
LC-2019-0056799,FEMENINO,37
LC-2019-0058743,MASCULINO,44
LC-2019-0061265,MASCULINO,44
LC-2019-0047752,MASCULINO,53
LC-2019-0048117,MASCULINO,37
LC-2019-0048277,MASCULINO,36
LC-2019-0048442,FEMENINO,29
LC-2019-0048674,FEMENINO,22
LC-2019-0048744,MASCULINO,24
LC-2019-0048830,FEMENINO,43
LC-2019-0049122,MASCULINO,58
LC-2019-0049148,MASCULINO,28
LC-2019-0049194,MASCULINO,36
LC-2019-0049414,MASCULINO,42
LC-2019-0049648,MASCULINO,46
LC-2019-0049690,FEMENINO,59
LC-2019-0049800,MASCULINO,12
LC-2019-0049800,FEMENINO,12
LC-2019-0049800,FEMENINO,12
LC-2019-0049800,MASCULINO,12
LC-2019-0049800,FEMENINO,12
LC-2019-0049800,FEMENINO,12
LC-2019-0049800,FEMENINO,12
LC-2019-0049800,MASCULINO,12
LC-2019-0049800,FEMENINO,12
LC-2019-0049800,FEMENINO,12
LC-2019-0049828,MASCULINO,24
LC-2019-0049949,FEMENINO,17
LC-2019-0049949,FEMENINO,17
LC-2019-0051056,FEMENINO,52
LC-2019-0062792,FEMENINO,46
LC-2019-0073279,MASCULINO,58
LC-2019-0049592,MASCULINO,23
LC-2019-0049994,MASCULINO,33
LC-2019-0050069,MASCULINO,23
LC-2019-0050158,MASCULINO,25
LC-2019-0594837,FEMENINO,43
LC-2019-0128557,MASCULINO,22
LC-2019-0275728,MASCULINO,22
LC-2019-0073976,MASCULINO,29
LC-2019-0050234,MASCULINO,39
LC-2019-0050276,FEMENINO,44
LC-2019-0050343,FEMENINO,30
LC-2019-0384019,MASCULINO,29
LC-2019-0643230,MASCULINO,58
LC-2019-0050670,MASCULINO,64
LC-2019-0050733,MASCULINO,27
LC-2019-0050947,MASCULINO,68
LC-2019-0050947,FEMENINO,68
LC-2019-0051414,MASCULINO,45
LC-2019-0051480,MASCULINO,56
LC-2019-0051508,FEMENINO,21
LC-2019-0051547,MASCULINO,56
LC-2019-0051559,MASCULINO,28
LC-2019-0051659,MASCULINO,40
LC-2019-0051659,MASCULINO,40
LC-2019-0051671,MASCULINO,22
LC-2019-0051714,MASCULINO,40
LC-2019-0051819,MASCULINO,26
LC-2019-0051971,MASCULINO,44
LC-2019-0052593,FEMENINO,39
LC-2019-0052598,MASCULINO,42
LC-2019-0052598,FEMENINO,42
LC-2019-0052649,FEMENINO,39
LC-2019-0054336,MASCULINO,43
LC-2019-0056451,MASCULINO,55
LC-2019-0056451,MASCULINO,55
LC-2019-0058485,MASCULINO,40
LC-2019-0053244,MASCULINO,30
LC-2019-0052619,FEMENINO,34
LC-2019-0052663,MASCULINO,32
LC-2019-0052828,MASCULINO,32
LC-2019-0052864,FEMENINO,26
LC-2019-0052864,MASCULINO,26
LC-2019-0052952,MASCULINO,40
LC-2019-0053282,MASCULINO,45
LC-2019-0053416,MASCULINO,56
LC-2019-0053416,MASCULINO,56
LC-2019-0053435,FEMENINO,57
LC-2019-0053496,FEMENINO,46
LC-2019-0053509,FEMENINO,75
LC-2019-0053554,FEMENINO,46
LC-2019-0053829,MASCULINO,28
LC-2019-0053916,FEMENINO,73
LC-2019-0053944,FEMENINO,24
LC-2019-0054373,MASCULINO,30
LC-2019-0054445,FEMENINO,38
LC-2019-0054484,FEMENINO,41
LC-2019-0054624,FEMENINO,38
LC-2019-0668201,MASCULINO,45
LC-2019-0054689,MASCULINO,33
LC-2019-0054775,MASCULINO,53
LC-2019-0054775,MASCULINO,53
LC-2019-0054775,MASCULINO,83
LC-2019-0059461,MASCULINO,40
LC-2019-0067231,FEMENINO,33
LC-2019-0072608,FEMENINO,43
LC-2019-0054941,MASCULINO,41
LC-2019-0040449,MASCULINO,33
LC-2019-0055419,MASCULINO,36
LC-2019-0055442,MASCULINO,30
LC-2019-0055570,MASCULINO,35
LC-2019-0055648,MASCULINO,35
LC-2019-0055805,MASCULINO,39
LC-2019-0056034,MASCULINO,39
LC-2019-0056046,MASCULINO,30
LC-2019-0056105,MASCULINO,33
LC-2019-0056105,MASCULINO,33
LC-2019-0056259,MASCULINO,22
LC-2019-0056354,MASCULINO,43
LC-2019-0056354,FEMENINO,43
LC-2019-0056420,MASCULINO,33
LC-2019-0056420,FEMENINO,33
LC-2019-0056470,MASCULINO,69
LC-2019-0056470,FEMENINO,69
LC-2019-0056704,FEMENINO,43
LC-2019-0056706,FEMENINO,65
LC-2019-0056889,FEMENINO,40
LC-2019-0056913,MASCULINO,28
LC-2019-0056994,FEMENINO,29
LC-2019-0057033,MASCULINO,63
LC-2019-0057034,MASCULINO,26
LC-2019-0057044,MASCULINO,60
LC-2019-0057059,MASCULINO,32
LC-2019-0057094,MASCULINO,27
LC-2019-0057287,FEMENINO,40
LC-2019-0057299,MASCULINO,30
LC-2019-0057512,MASCULINO,28
LC-2019-0057541,FEMENINO,26
LC-2019-0057661,FEMENINO,70
LC-2019-0057798,MASCULINO,65
LC-2019-0057906,FEMENINO,76
LC-2019-0058479,MASCULINO,32
LC-2019-0058515,MASCULINO,38
LC-2019-0058636,FEMENINO,62
LC-2019-0058655,MASCULINO,43
LC-2019-0058655,MASCULINO,43
LC-2019-0058658,FEMENINO,23
LC-2019-0058778,FEMENINO,26
