,Id,semaforo_15m
898,LC-2019-0024454,True
899,LC-2019-0032150,False
900,LC-2019-0040263,False
901,LC-2019-0023692,True
902,LC-2019-0023777,True
903,LC-2019-0023860,False
904,LC-2019-0023868,False
905,LC-2019-0023906,True
906,LC-2019-0024132,False
907,LC-2019-0024257,False
908,LC-2019-0024265,False
909,LC-2019-0024269,True
910,LC-2019-0024408,False
911,LC-2019-0024465,True
912,LC-2019-0024488,False
913,LC-2019-0024600,True
914,LC-2019-0024719,True
915,LC-2019-0024752,False
916,LC-2019-0024755,True
917,LC-2019-0024778,False
918,LC-2019-0025473,True
919,LC-2019-0033162,False
920,LC-2019-0267484,True
921,LC-2019-0024930,False
922,LC-2019-0025033,False
923,LC-2019-0025067,False
924,LC-2019-0025088,True
925,LC-2019-0025109,False
926,LC-2019-0025154,False
927,LC-2019-0025411,False
928,LC-2019-0025428,True
929,LC-2019-0025548,False
930,LC-2019-0025711,True
931,LC-2019-0025730,False
932,LC-2019-0025772,True
933,LC-2019-0052617,False
934,LC-2019-0026619,False
935,LC-2019-0027065,False
936,LC-2019-0028384,False
937,LC-2019-0025831,False
938,LC-2019-0025841,False
939,LC-2019-0026116,False
940,LC-2019-0026635,True
941,LC-2019-0027083,False
942,LC-2019-0027156,False
943,LC-2019-0027204,False
944,LC-2019-0027208,False
945,LC-2019-0027290,False
946,LC-2019-0027336,False
947,LC-2019-0027551,True
948,LC-2019-0027620,True
949,LC-2019-0027679,False
950,LC-2019-0027748,False
951,LC-2019-0027769,False
952,LC-2019-0027969,False
953,LC-2019-0028124,True
954,LC-2019-0028203,True
955,LC-2019-0028228,False
956,LC-2019-0028499,True
957,LC-2019-0028597,False
958,LC-2019-0028635,False
959,LC-2019-0028641,False
960,LC-2019-0028794,False
961,LC-2019-0030752,False
962,LC-2019-0033421,True
963,LC-2019-0030658,False
964,LC-2019-0028657,True
965,LC-2019-0028702,True
966,LC-2019-0028731,False
967,LC-2019-0028782,False
968,LC-2019-0028796,False
969,LC-2019-0029010,False
970,LC-2019-0029065,False
971,LC-2019-0029336,True
972,LC-2019-0029346,False
973,LC-2019-0029347,False
974,LC-2019-0029367,True
975,LC-2019-0030128,False
976,LC-2019-0030272,True
977,LC-2019-0030300,False
978,LC-2019-0030352,True
979,LC-2019-0030435,True
980,LC-2019-0030566,True
981,LC-2019-0030574,True
982,LC-2019-0030786,False
983,LC-2019-0030792,True
984,LC-2019-0030793,True
985,LC-2019-0030858,True
986,LC-2019-0031001,False
987,LC-2019-0035369,False
988,LC-2019-0031641,True
989,LC-2019-0032903,True
990,LC-2019-0033489,False
991,LC-2019-0031071,True
992,LC-2019-0031424,False
993,LC-2019-0031634,False
994,LC-2019-0032487,False
995,LC-2019-0032605,False
996,LC-2019-0032607,False
997,LC-2019-0032657,False
998,LC-2019-0032834,False
999,LC-2019-0033174,True
1000,LC-2019-0033180,False
1001,LC-2019-0033263,False
