Id_Hecho,Sexo,Edad
2020-0074,MASCULINO,39
2020-0075,MASCULINO,23
2020-0076,FEMENINO,78
2020-0077,FEMENINO,30
2020-0078,MASCULINO,26
2020-0079,MASCULINO,28
2021-0001,MASCULINO,36
2021-0002,FEMENINO,47
2021-0003,MASCULINO,27
2021-0004,FEMENINO,61
2021-0005,MASCULINO,73
2021-0006,FEMENINO,23
2021-0007,MASCULINO,84
2021-0008,MASCULINO,28
2021-0009,MASCULINO,31
2021-0010,MASCULINO,28
2021-0011,MASCULINO,21
2021-0013,MASCULINO,41
2021-0014,MASCULINO,28
2021-0015,MASCULINO,26
2021-0016,MASCULINO,22
2021-0017,MASCULINO,33
2021-0018,MASCULINO,36
2021-0019,MASCULINO,30
2021-0021,MASCULINO,39
2021-0022,MASCULINO,68
2021-0023,MASCULINO,24
2021-0024,MASCULINO,5
2021-0025,MASCULINO,37
2021-0026,MASCULINO,36
2021-0027,FEMENINO,19
2021-0029,MASCULINO,26
2021-0030,MASCULINO,36
2021-0031,FEMENINO,68
2021-0032,MASCULINO,60
2021-0033,MASCULINO,33
2021-0034,FEMENINO,26
2021-0035,MASCULINO,24
2021-0036,MASCULINO,36
2021-0037,FEMENINO,58
2021-0038,FEMENINO,44
2021-0039,MASCULINO,86
2021-0040,MASCULINO,27
2021-0041,MASCULINO,75
2021-0042,MASCULINO,39
2021-0043,MASCULINO,50
2021-0044,MASCULINO,21
2021-0045,MASCULINO,22
2021-0046,MASCULINO,20
2021-0047,MASCULINO,59
2021-0048,MASCULINO,44
2021-0049,MASCULINO,74
2021-0050,MASCULINO,56
2021-0051,MASCULINO,73
2021-0052,FEMENINO,19
2021-0053,MASCULINO,58
2021-0054,MASCULINO,41
2021-0055,MASCULINO,47
2021-0056,MASCULINO,60
2021-0057,MASCULINO,46
2021-0058,MASCULINO,24
2021-0059,FEMENINO,44
2021-0060,FEMENINO,80
2021-0061,FEMENINO,55
2021-0062,MASCULINO,73
2021-0063,FEMENINO,31
2021-0064,MASCULINO,37
2021-0065,FEMENINO,63
2021-0066,MASCULINO,59
2021-0067,MASCULINO,27
2021-0068,MASCULINO,39
2021-0069,MASCULINO,17
2021-0070,MASCULINO,31
2021-0071,MASCULINO,88
2021-0072,FEMENINO,57
2021-0073,FEMENINO,76
2021-0074,MASCULINO,55
2021-0075,MASCULINO,65
2021-0076,MASCULINO,31
2021-0077,FEMENINO,31
2021-0078,MASCULINO,22
2021-0080,MASCULINO,32
2021-0081,MASCULINO,26
2021-0082,MASCULINO,38
2021-0083,MASCULINO,30
2021-0084,MASCULINO,32
2021-0097,MASCULINO,53
2021-0085,MASCULINO,49
2021-0086,MASCULINO,75
2021-0087,FEMENINO,73
2021-0088,MASCULINO,45
2021-0089,MASCULINO,41
2021-0090,MASCULINO,73
2021-0091,MASCULINO,24
2021-0092,FEMENINO,50
2021-0093,FEMENINO,18
2021-0094,FEMENINO,43
2021-0095,MASCULINO,27
2021-0096,MASCULINO,60
