Id,N_Victimas,Fecha,Franja_Hora,Tipo_Calle,Calle,Cruce,Comuna,Longitud,Latitud,Participantes,Victima,Acusado,Dataset,semaforo_30m,semaforo_15m
2016-0109,1,2016-08-24,5,AUTOPISTA,AUTOPISTA PERITO MORENO,True,9,-58.52280139,-34.63659934,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,homicidio,False,False
2016-0111,1,2016-08-25,9,AUTOPISTA,LUGONES,True,15,-58.47461905,-34.57663634,MOTO-CARGAS,MOTO,CARGAS,homicidio,False,False
2016-0112,1,2016-08-27,4,AUTOPISTA,AUTOPISTA 25 DE MAYO,True,1,-58.38268809,-34.62282019,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,homicidio,False,False
2016-0113,1,2016-08-27,16,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,9,-58.49603546,-34.64564271,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0114,1,2016-08-31,11,CALLE,"SALGUERO, JERONIMO",False,14,-58.41848605,-34.59394733,BICICLETA-CARGAS,CICLISTA,CARGAS,homicidio,True,False
2016-0116,1,2016-09-02,20,AVENIDA,27 DE FEBRERO AV.,True,8,-58.44451316,-34.68475866,MOTO-AUTO,MOTO,AUTO,homicidio,False,False
2016-0117,1,2016-09-03,15,AVENIDA,DEL LIBERTADOR AV.,True,14,-58.39936478,-34.58271474,AUTO-AUTO,AUTO,AUTO,homicidio,True,True
2016-0118,1,2016-09-04,3,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,1,-58.37936704,-34.62694503,AUTO-AUTO,AUTO,AUTO,homicidio,False,False
2016-0122,1,2016-09-13,7,AVENIDA,"PERON, EVA AV.",False,9,-58.47256391,-34.65194557,BICICLETA-PASAJEROS,CICLISTA,PASAJEROS,homicidio,False,False
2016-0123,1,2016-09-14,9,AVENIDA,ASAMBLEA AV.,True,7,-58.45130953,-34.64053676,MOTO-AUTO,MOTO,AUTO,homicidio,False,False
2016-0124,1,2016-09-16,15,AVENIDA,RIVADAVIA AV.,True,7,-58.46271207,-34.62884871,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
